timestamp,throughput,rtt,loss_rate
0,-1,34.20590193610779,0.017299685971575447
1,-1,30.42893729813519,0.01664282227094374
2,-1,34.642812008278575,0.023775430542129654
3,-1,24.716907017378738,0.027695555592270084
4,-1,21.95112057095831,0.028119351407065014
5,-1,23.31777282610693,0.031186562210790768
6,-1,0.022627118644067787,0.03365362034083245
7,-1,34.42079219386613,0.027387015114298266
8,-1,31.281641989480907,0.03172122638895292
9,-1,25.70448431382138,0.035458880775512784
10,-1,30.493235137626982,0.0263917076831476
11,-1,29.232095689386483,0.033980302692160874
12,-1,31.908781658740246,0.031147699671674287
13,-1,23.36974103437373,0.03176995056576105
14,-1,33.46968631649438,0.030566127223437933
15,-1,31.02920411043135,0.03309248381480663
16,-1,24.043766598202495,0.03553044917140174
17,-1,43.39223429603362,0.037555656776232925
18,-1,41.27034115435234,0.02656813977660235
19,-1,35.935367997817636,0.03545218591276879
20,-1,27.232882849825184,0.02259112534423577
21,-1,33.31897156271982,0.03196484275775712
22,-1,32.214088843270396,0.02615531802642356
23,-1,25.774421820419118,0.03457984277310258
24,-1,28.658424532193045,0.02792696466410434
25,-1,29.99796450874109,0.030926484777306185
26,-1,30.021941921350088,0.023505914890748398
27,-1,33.93264695199084,0.021031471846977127
28,-1,31.272337978135308,0.03228726425112311
29,-1,27.30460926918348,0.022357644118895258
30,-1,25.573845874551605,0.02300917802813388
31,-1,26.326793505238125,0.02382185727246111
32,-1,33.740173547447135,0.02636949116655981
33,-1,24.637237813140665,0.01613251144486018
34,-1,26.906991324133166,0.009138770973137835
35,-1,27.991500901191213,0.0019414032270808693
36,-1,40.81556685399535,0.009887696399038458
37,-1,29.360278793931382,0.013636902651553495
38,-1,29.85609584343334,0.008394787808005786
39,-1,32.225240672428086,0.004751032585837339
40,-1,22.90132341206747,0.008300771687688386
41,-1,27.27497081071447,0.020152658840061143
42,-1,37.06280795525875,0.004606783659920519
43,-1,28.481675230558626,0.009636500239315195
44,-1,35.719066205633396,0.000377492388659759
45,-1,38.88627672887195,0
46,-1,34.127827806290114,0.010174436218612458
47,-1,34.864477440247356,0.0034777959349553056
48,-1,34.68900178784136,0.007362834988659054
49,-1,33.14727393129448,0.008080564429814427
50,-1,34.02373885761854,0.00843407863007577
51,-1,37.84702166421175,0.00867630709033767
52,-1,31.98513580056272,0.008037117578389515
53,-1,31.68807707548109,0.0027439235942737974
54,-1,37.916911879453316,0.005608185774540793
55,-1,37.425967881991745,0.0217359347597747
56,-1,21.055496438400322,0.011912437223128604
57,-1,38.4479789585209,0.017556575427670452
58,-1,38.88383794174031,0.006570250403751143
59,-1,17.95319862488811,0.014922224508318416
